"epoch","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - _step","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - _step__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - _step__MAX","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - val_kl_loss","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - val_kl_loss__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - val_kl_loss__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MAX"
"0","20","20","20","7607.520703125","7461.68505859375","7814.64697265625","20","20","20","8358.278125","8123.1513671875","8575.345703125"
"1","41","41","41","7546.43046875","7188.95654296875","7802.3505859375","41","41","41","8176.818359375","8067.42138671875","8257.873046875"
"2","63","63","63","7486.184375","7398.921875","7701.9111328125","63","63","63","8205.48466796875","8101.22509765625","8339.6015625"
"3","84","84","84","7503.1197265625","7385.10693359375","7772.91552734375","84","84","84","8107.17978515625","7933.77392578125","8281.3525390625"
"4","105","105","105","7570.3818359375","7446.85693359375","7851.51904296875","105","105","105","8135.96650390625","7974.99462890625","8339.5556640625"
"5","127","127","127","7444.1462890625","7246.9970703125","7665.2421875","127","127","127","8107.15478515625","7980.36572265625","8300.5439453125"
"6","148","148","148","7443.5939453125","7332.97021484375","7520.7685546875","148","148","148","8050.1970703125","7959.77099609375","8143.38232421875"
"7","169","169","169","7413.8146484375","7328.3779296875","7491.4423828125","169","169","169","8070.94013671875","7895.353515625","8248.90234375"
"8","191","191","191","7474.755078125","7369.23388671875","7598.46484375","191","191","191","8040.903515625","7979.21875","8213.673828125"
"9","212","212","212","7368.641015625","7292.61328125","7465.986328125","212","212","212","8135.82646484375","8033.93310546875","8241.2080078125"
"10","233","233","233","7427.89521484375","7342.5869140625","7505.67431640625","233","233","233","8000.44892578125","7925.31787109375","8044.50537109375"
"11","255","255","255","7401.689453125","7262.60205078125","7518.73583984375","255","255","255","8055.88662109375","7994.49658203125","8144.50390625"
"12","276","276","276","7391.32236328125","7342.23095703125","7464.27880859375","276","276","276","8112.54619140625","8031.126953125","8187.96337890625"
"13","298","298","298","7394.536328125","7292.58056640625","7514.83154296875","298","298","298","8131.775390625","8092.96435546875","8183.49169921875"
"14","319","319","319","7398.6416015625","7327.5478515625","7491.41357421875","319","319","319","8173.6501953125","8051.66259765625","8317.8369140625"
"15","340","340","340","7365.81923828125","7257.859375","7432.27099609375","340","340","340","8142.983203125","8096.39111328125","8192.669921875"
"16","362","362","362","7382.1626953125","7268.88818359375","7505.318359375","362","362","362","8129.92646484375","8047.4921875","8230.767578125"
"17","383","383","383","7389.45029296875","7262.3818359375","7437.96630859375","383","383","383","8146.48115234375","8036.09716796875","8221.05859375"
"18","404","404","404","7343.85478515625","7232.72412109375","7397.5458984375","404","404","404","8153.65400390625","8094.32470703125","8211.1552734375"
"19","426","426","426","7318.15947265625","7261.28564453125","7357.8076171875","426","426","426","8126.0685546875","8065.46826171875","8232.814453125"
"20","447","447","447","7314.773046875","7241.20703125","7394.673828125","447","447","447","8105.6669921875","8031.51416015625","8155.21533203125"
"21","468","468","468","7285.713671875","7268.96337890625","7328.35888671875","468","468","468","8088.24072265625","8012.50830078125","8150.43212890625"
"22","490","490","490","7309.208984375","7202.02978515625","7390.361328125","490","490","490","8111.62783203125","8033.15380859375","8181.7490234375"
"23","511","511","511","7244.1654296875","7168.61279296875","7318.142578125","511","511","511","8151.58466796875","8045.201171875","8222.2392578125"
"24","533","533","533","7271.662109375","7177.8623046875","7352.4326171875","533","533","533","8128.3544921875","7971.98974609375","8326.8193359375"
"25","554","554","554","7242.83603515625","7192.98193359375","7329.13623046875","554","554","554","8119.56484375","8068.49609375","8158.8681640625"
"26","575","575","575","7248.28447265625","7157.48681640625","7322.740234375","575","575","575","8088.8306640625","8019.07421875","8232.6923828125"
"27","597","597","597","7289.6396484375","7175.58544921875","7394.47607421875","597","597","597","8105.424609375","8002.3017578125","8254.7939453125"
"28","618","618","618","7293.83310546875","7241.931640625","7348.25927734375","618","618","618","8121.30400390625","8051.333984375","8172.31103515625"
"29","639","639","639","7290.85673828125","7252.345703125","7324.0048828125","639","639","639","8169.46552734375","8104.3779296875","8310.7353515625"
"30","661","661","661","7199.65234375","7168.02197265625","7253.27197265625","661","661","661","8138.60771484375","8090.986328125","8257.9189453125"
"31","682","682","682","7223.41142578125","7175.0888671875","7288.16650390625","682","682","682","8157.3248046875","8064.33251953125","8224.193359375"
"32","703","703","703","7226.91884765625","7164.7919921875","7297.0498046875","703","703","703","8135.58505859375","8104.04052734375","8163.16650390625"
"33","725","725","725","7238.72734375","7200.6787109375","7312.39111328125","725","725","725","8112.0986328125","7970.09716796875","8218.859375"
"34","746","746","746","7206.41806640625","7174.224609375","7308.20751953125","746","746","746","8164.97421875","8089.1240234375","8281.4248046875"
"35","767","767","767","7207.0099609375","7138.7314453125","7292.11376953125","767","767","767","8151.76044921875","8032.14892578125","8242.5205078125"
"36","789","789","789","7201.670703125","7129.14111328125","7275.20654296875","789","789","789","8102.48662109375","8049.0625","8176.625"
