"epoch","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - _step","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - _step__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - _step__MAX","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0(MASKED)","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0(MASKED)__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0(MASKED)__MAX","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MAX"
"0","20","20","20","24076.9951171875","23665.44921875","24376.4140625","25203.521484375","24968.40625","25485.662109375","20","20","20","22040.623046875","20867.75","22741.427734375"
"1","41","41","41","21463.27197265625","21300.869140625","21609.2421875","22736.859375","22584.84375","22912.208984375","41","41","41","19722.790234375","19357.013671875","20546.517578125"
"2","63","63","63","20942.7177734375","20855.509765625","21064.994140625","22043.59814453125","21946.84765625","22145.623046875","63","63","63","18965.06875","18655.775390625","19444.81640625"
"3","84","84","84","20142.4541015625","19799.357421875","20447.181640625","21361.482421875","21205.765625","21621.421875","84","84","84","18379.13828125","17830.275390625","18700.03515625"
"4","105","105","105","19599.1640625","19452.443359375","19786.947265625","20564.98291015625","20503.724609375","20685.28125","105","105","105","17890.180859375","17673.0546875","18255.478515625"
"5","127","127","127","19212.380859375","19042.00390625","19513.029296875","20032.25830078125","19954.970703125","20165.849609375","127","127","127","17604.45625","17547.052734375","17738.322265625"
"6","148","148","148","18829.48779296875","18606.12890625","19053.015625","19621.67578125","19449.638671875","19827.92578125","148","148","148","17311.662890625","17158.4140625","17519.56640625"
"7","169","169","169","18369.0537109375","18195.29296875","18521.72265625","19004.06298828125","18938.853515625","19147.44921875","169","169","169","17054.521875","17008.796875","17104.796875"
"8","191","191","191","18017.111328125","17859.787109375","18194.111328125","18552.79638671875","18326.08984375","18772.337890625","191","191","191","16885.9140625","16795.103515625","16971.599609375"
"9","212","212","212","17674.3642578125","17510.154296875","17779.3203125","18070.97216796875","17933.51171875","18204.0859375","212","212","212","16533.917578125","16321.431640625","16636.69140625"
"10","233","233","233","17523.7333984375","17309.369140625","17654.96484375","17838.63916015625","17706.951171875","17973.53125","233","233","233","16621.719140625","16475.484375","16871.953125"
"11","255","255","255","17523.54541015625","17277.701171875","17786.7109375","17710.4462890625","17532.818359375","17927.564453125","255","255","255","16387.96171875","16217.75390625","16491.96875"
"12","276","276","276","17424.26123046875","17351.865234375","17549.044921875","17548.3720703125","17469.92578125","17609.341796875","276","276","276","16300.208203125","16179.8359375","16496.841796875"
