"epoch","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MIN","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MAX"
"0","20","20","20","12961.625651041666","12368.80859375","13678.2529296875","20","20","20","8358.278125","8123.1513671875","8575.345703125"
"1","41","41","41","11966.784830729166","11755.181640625","12161.8134765625","41","41","41","8176.818359375","8067.42138671875","8257.873046875"
"2","63","63","63","11456.061197916666","10796.16015625","12047.6005859375","63","63","63","8205.48466796875","8101.22509765625","8339.6015625"
"3","84","84","84","10992.615559895834","10614.634765625","11511.93359375","84","84","84","8107.17978515625","7933.77392578125","8281.3525390625"
"4","105","105","105","10612.253255208334","9891.625","11038.5166015625","105","105","105","8135.96650390625","7974.99462890625","8339.5556640625"
"5","127","127","127","10497.6064453125","10216.1669921875","10770.0927734375","127","127","127","8107.15478515625","7980.36572265625","8300.5439453125"
"6","148","148","148","10666.277669270834","10463.3515625","10803.595703125","148","148","148","8050.1970703125","7959.77099609375","8143.38232421875"
"7","169","169","169","10584.54296875","10486.2314453125","10756.00390625","169","169","169","8070.94013671875","7895.353515625","8248.90234375"
"8","191","191","191","10667.512044270834","10275.7392578125","10946.20703125","191","191","191","8040.903515625","7979.21875","8213.673828125"
"9","212","212","212","10620.9990234375","10307.0078125","10779.0205078125","212","212","212","8135.82646484375","8033.93310546875","8241.2080078125"
"10","233","233","233","10698.446940104166","10574.630859375","10775.990234375","233","233","233","8000.44892578125","7925.31787109375","8044.50537109375"
"11","255","255","255","10902.654622395834","10718.005859375","11192.232421875","255","255","255","8055.88662109375","7994.49658203125","8144.50390625"
"12","276","276","276","10862.520833333334","10745.9501953125","11070.763671875","276","276","276","8112.54619140625","8031.126953125","8187.96337890625"
"13","298","298","298","10732.333984375","10563.9208984375","10863.33203125","298","298","298","8131.775390625","8092.96435546875","8183.49169921875"
"14","319","319","319","10927.252278645834","10497.4169921875","11419.5869140625","319","319","319","8173.6501953125","8051.66259765625","8317.8369140625"
"15","340","340","340","10937.746419270834","10659.07421875","11237.0693359375","340","340","340","8142.983203125","8096.39111328125","8192.669921875"
"16","362","362","362","10938.082682291666","10517.44140625","11361.8056640625","362","362","362","8129.92646484375","8047.4921875","8230.767578125"
"17","383","383","383","10901.609700520834","10771.0224609375","11062.09765625","383","383","383","8146.48115234375","8036.09716796875","8221.05859375"
"18","404","404","404","10912.603841145834","10792.3671875","11057.01953125","404","404","404","8153.65400390625","8094.32470703125","8211.1552734375"
"19","426","426","426","10773.674153645834","10706.4951171875","10828.8212890625","426","426","426","8126.0685546875","8065.46826171875","8232.814453125"
"20","447","447","447","10863.775716145834","10850.572265625","10871.556640625","447","447","447","8105.6669921875","8031.51416015625","8155.21533203125"
"21","468","468","468","10779.69140625","10424.5478515625","11005.65625","468","468","468","8088.24072265625","8012.50830078125","8150.43212890625"
"22","490","490","490","10808.899739583334","10497.3720703125","11069.134765625","490","490","490","8111.62783203125","8033.15380859375","8181.7490234375"
"23","511","511","511","10719.357747395834","10584.005859375","10874.208984375","511","511","511","8151.58466796875","8045.201171875","8222.2392578125"
"24","533","533","533","10607.908203125","10202.5888671875","10930.62890625","533","533","533","8128.3544921875","7971.98974609375","8326.8193359375"
"25","554","554","554","10614.003255208334","10209.1796875","10886.671875","554","554","554","8119.56484375","8068.49609375","8158.8681640625"
"26","575","575","575","10713.577799479166","10432.814453125","10860.1875","575","575","575","8088.8306640625","8019.07421875","8232.6923828125"
"27","597","597","597","10703.882486979166","10608.4990234375","10867.9013671875","597","597","597","8105.424609375","8002.3017578125","8254.7939453125"
"28","618","618","618","10660.02734375","10459.6591796875","10831.0791015625","618","618","618","8121.30400390625","8051.333984375","8172.31103515625"
"29","639","639","639","10642.831705729166","10610.2958984375","10689.205078125","639","639","639","8169.46552734375","8104.3779296875","8310.7353515625"
"30","661","661","661","10698.244140625","10593.18359375","10796.3408203125","661","661","661","8138.60771484375","8090.986328125","8257.9189453125"
"31","682","682","682","10755.1103515625","10702.275390625","10803.69921875","682","682","682","8157.3248046875","8064.33251953125","8224.193359375"
"32","703","703","703","10708.455078125","10592.693359375","10910.6806640625","703","703","703","8135.58505859375","8104.04052734375","8163.16650390625"
"33","725","725","725","10678.8193359375","10371.6650390625","11135.56640625","725","725","725","8112.0986328125","7970.09716796875","8218.859375"
"34","746","746","746","10711.407552083334","10436.4716796875","10902.0078125","746","746","746","8164.97421875","8089.1240234375","8281.4248046875"
"35","767","767","767","10684.134114583334","10493.1328125","10843.0673828125","767","767","767","8151.76044921875","8032.14892578125","8242.5205078125"
"36","789","789","789","10642.119466145834","10385.998046875","10838.912109375","789","789","789","8102.48662109375","8049.0625","8176.625"
"37","810","810","810","10632.785481770834","10545.529296875","10764.5146484375","810","810","810","8073.38642578125","8034.6728515625","8108.85302734375"
"38","832","832","832","10608.36328125","10544.578125","10672.1484375","832","832","832","8080.14189453125","7961.59814453125","8197.751953125"
"39","853","853","853","10454.93408203125","10398.80078125","10511.0673828125","853","853","853","8122.41376953125","8070.6123046875","8192.5615234375"
"40","874","874","874","10335.5419921875","10189.248046875","10481.8359375","874","874","874","8132.207421875","8053.1376953125","8246.1298828125"
"41","896","896","896","10416.697265625","10184.1689453125","10649.2255859375","896","896","896","8129.32109375","8034.669921875","8227.87890625"
"42","917","917","917","10609.85498046875","10469.3974609375","10750.3125","917","917","917","8108.32890625","8009.31005859375","8202.6005859375"
"43","938","938","938","10757.77783203125","10631.2119140625","10884.34375","938","938","938","8070.49150390625","8039.94677734375","8116.619140625"
"44","960","960","960","10458.564453125","10324.376953125","10592.751953125","960","960","960","8066.9576171875","7962.4501953125","8191.8515625"
"45","981","981","981","10824.2880859375","10430.8388671875","11217.7373046875","981","981","981","8082.13603515625","7993.01123046875","8162.93310546875"
