"epoch","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MIN","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MAX"
"0","20","20","20","10070.03125","9895.078125","10173.4208984375","20","20","20","8358.278125","8123.1513671875","8575.345703125"
"1","41","41","41","9781.753125","9599.2958984375","9928.5146484375","41","41","41","8176.818359375","8067.42138671875","8257.873046875"
"2","63","63","63","9688.51171875","9393.0751953125","10152.677734375","63","63","63","8205.48466796875","8101.22509765625","8339.6015625"
"3","84","84","84","9631.1923828125","9443.6015625","10263.6484375","84","84","84","8107.17978515625","7933.77392578125","8281.3525390625"
"4","105","105","105","9596.77421875","9289.763671875","10154.7119140625","105","105","105","8135.96650390625","7974.99462890625","8339.5556640625"
"5","127","127","127","9628.41484375","9452.94140625","10105.6865234375","127","127","127","8107.15478515625","7980.36572265625","8300.5439453125"
"6","148","148","148","9660.8947265625","9535.9345703125","9999.9482421875","148","148","148","8050.1970703125","7959.77099609375","8143.38232421875"
"7","169","169","169","9592.6830078125","9523.5751953125","9720.431640625","169","169","169","8070.94013671875","7895.353515625","8248.90234375"
"8","191","191","191","9550.4234375","9395.9404296875","9795.8017578125","191","191","191","8040.903515625","7979.21875","8213.673828125"
"9","212","212","212","9617.9796875","9572.7998046875","9658.533203125","212","212","212","8135.82646484375","8033.93310546875","8241.2080078125"
"10","233","233","233","9679.5837890625","9452.224609375","9805.7841796875","233","233","233","8000.44892578125","7925.31787109375","8044.50537109375"
"11","255","255","255","9632.079296875","9602.83984375","9663.404296875","255","255","255","8055.88662109375","7994.49658203125","8144.50390625"
"12","276","276","276","9690.6728515625","9632.86328125","9758.0224609375","276","276","276","8112.54619140625","8031.126953125","8187.96337890625"
