"epoch","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MAX","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0__MAX","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0(MASKED)","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0(MASKED)__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0(MASKED)__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MAX"
"0","20","20","20","0.01167524429038167","0.007082860451191664","0.015947457402944565","0.011450377386063337","0.006686695385724306","0.015825150534510612","20","20","20","0.005624835938215255","0.004816492088139057","0.00791879277676344"
"1","41","41","41","0.007501301821321249","0.005035802256315947","0.011273706331849098","0.007162005081772805","0.004683599341660738","0.010862354189157486","41","41","41","0.0042256785556674","0.0036654851865023375","0.005826414562761784"
"2","63","63","63","0.005739794112741947","0.0044562555849552155","0.007845432497560978","0.005377439502626658","0.004116368480026722","0.007457523141056299","63","63","63","0.0036348468158394097","0.003077117260545492","0.00508284755051136"
"3","84","84","84","0.004962714295834303","0.004079416394233704","0.006705576553940773","0.004687524354085326","0.0037422149907797575","0.006684583146125078","84","84","84","0.0034308651927858593","0.002915692515671253","0.004731916356831789"
"4","105","105","105","0.004344103718176484","0.0036968972999602556","0.005151805933564901","0.004034258145838976","0.003373498795554042","0.004744647536426783","105","105","105","0.0033440667670220138","0.0027168160304427147","0.005126029718667269"
"5","127","127","127","0.0039827241096645595","0.003278913674876094","0.00457367580384016","0.0037199069745838644","0.002968613291159272","0.004243777133524418","127","127","127","0.0031712902244180443","0.002663919236510992","0.004385277163237333"
"6","148","148","148","0.0037402914371341468","0.00308257550932467","0.00417117727920413","0.0034318449441343548","0.0027929709758609533","0.0038225918542593718","148","148","148","0.0030611918307840826","0.002635688055306673","0.004224441479891539"
"7","169","169","169","0.003510393714532256","0.002955490257591009","0.0038835867308080196","0.0031980636529624464","0.002681012963876128","0.003476550802588463","169","169","169","0.0030475129839032888","0.002680861158296466","0.004105689469724894"
"8","191","191","191","0.003293640585616231","0.0028602778911590576","0.0036351217422634363","0.003000502148643136","0.0026025117840617895","0.0032601268030703068","191","191","191","0.0029759979341179134","0.002486875280737877","0.0039505744352936745"
"9","212","212","212","0.0031141758896410464","0.0027967935893684626","0.003389334538951516","0.002856741938740015","0.0025566292461007833","0.0030746920965611935","212","212","212","0.0028417080640792845","0.0024927223566919565","0.003733027959242463"
"10","233","233","233","0.0029862352646887304","0.0027424374129623175","0.0032583586871623993","0.002777188876643777","0.002525086747482419","0.002942571183666587","233","233","233","0.0028006667271256447","0.002418265677988529","0.003929771948605776"
"11","255","255","255","0.0028648465871810914","0.0027046152390539646","0.0031320923008024693","0.002630267245694995","0.0023648010101169348","0.002837365260347724","255","255","255","0.00269879586994648","0.0023730038665235043","0.003604448866099119"
"12","276","276","276","0.0027613539714366198","0.0025852415710687637","0.0029133933130651712","0.002542241429910064","0.0022483142092823982","0.002688088919967413","276","276","276","0.0026971152052283286","0.002377715427428484","0.003519037738442421"
"13","298","298","298","0.0026792592369019987","0.002485146513208747","0.0028738242108374834","0.002477961592376232","0.0021686330437660217","0.002670558635145426","298","298","298","0.0026741265784949063","0.0022970607969909906","0.003515454474836588"
"14","319","319","319","0.0026154868304729463","0.002402915619313717","0.0028281426057219505","0.0024463152047246696","0.0020887216087430716","0.00263779703527689","319","319","319","0.0025710427667945623","0.002277214080095291","0.0033518937416374683"
"15","340","340","340","0.002560383966192603","0.0023452371824532747","0.0028141613584011793","0.0023905962705612184","0.002036426914855838","0.0026648249477148056","340","340","340","0.0025253609288483857","0.0021859474945813417","0.003199022263288498"
"16","362","362","362","0.0025087944231927395","0.0023101242259144783","0.0028074218425899744","0.002331195492297411","0.0020239846780896187","0.002708769403398037","362","362","362","0.002598495967686176","0.0021826387383043766","0.003377358429133892"
