"epoch","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MAX","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_vq_loss","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_vq_loss__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_vq_loss__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MAX"
"0","20","20","20","0.002765863295644522","0.0005679307505488396","0.0060596829280257225","20","20","20","0.0035307286772876976","0.0028667054139077663","0.004950366448611021"
"1","41","41","41","0.0020977490814402698","0.001393443439155817","0.002890039701014757","41","41","41","0.004009201237931847","0.00297571811825037","0.007768782787024975"
"2","63","63","63","0.0016510014887899161","0.0009870914509519935","0.0023189778439700603","63","63","63","0.004542899783700705","0.0027628797106444836","0.008048135787248611"
"3","84","84","84","0.0022378892404958605","0.0010712314397096634","0.0039223297499120235","84","84","84","0.004236560454592109","0.0026624619495123625","0.006102380808442831"
"4","105","105","105","0.0018189015798270702","0.0011175109539180994","0.002472107531502843","105","105","105","0.004110752744600177","0.0027232239954173565","0.00586102856323123"
"5","127","127","127","0.001672866230364889","0.0009201018256135285","0.0026396566536277533","127","127","127","0.0041152752935886385","0.00278256693854928","0.0057990411296486855"
"6","148","148","148","0.0016384536866098642","0.0007827272638678551","0.002677624113857746","148","148","148","0.004136525886133313","0.00276064476929605","0.0058237239718437195"
"7","169","169","169","0.0016845225472934544","0.0007238862453959882","0.002970021916553378","169","169","169","0.004346219217404723","0.002807214157655835","0.0057670315727591515"
"8","191","191","191","0.0017126619233749807","0.0008133340743370354","0.0031262929551303387","191","191","191","0.004195291036739946","0.0027455096133053303","0.005882695317268372"
"9","212","212","212","0.0016591417836025358","0.0007238788530230522","0.0031032823026180267","212","212","212","0.004124300787225366","0.0027513785753399134","0.005884325131773949"
"10","233","233","233","0.001623464305885136","0.0006787902675569057","0.0030537908896803856","233","233","233","0.004162755934521556","0.0032972272019833326","0.005777194630354643"
"11","255","255","255","0.0015890356269665062","0.0006543074850924313","0.0031433783005923033","255","255","255","0.004030813928693533","0.002909894799813628","0.0055754524655640125"
"12","276","276","276","0.001529464463237673","0.0005666681099683046","0.0031036268919706345","276","276","276","0.004086654866114259","0.0027878046967089176","0.005935694556683302"
"13","298","298","298","0.0015268376562744379","0.0006100310711190104","0.003055090317502618","298","298","298","0.003913930570706725","0.0031483154743909836","0.005468371789902449"
"14","319","319","319","0.0015643013641238213","0.0005887198494747281","0.003064710646867752","319","319","319","0.004260334465652704","0.003381365444511175","0.005648496560752392"
