"epoch","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_recon_loss_0","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_recon_loss_0__MIN","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_recon_loss_0__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MAX"
"0","20","20","20","0.05827447734773159","0.014430863782763481","0.08831959217786789","20","20","20","0.005624835938215255","0.004816492088139057","0.00791879277676344"
"1","41","41","41","0.038529430888593195","0.006874003913253546","0.14765697717666626","41","41","41","0.0042256785556674","0.0036654851865023375","0.005826414562761784"
"2","63","63","63","0.008394042495638132","0.004596848972141743","0.01618795655667782","63","63","63","0.0036348468158394097","0.003077117260545492","0.00508284755051136"
"3","84","84","84","0.005420048255473375","0.004079374484717846","0.007272506598383188","84","84","84","0.0034308651927858593","0.002915692515671253","0.004731916356831789"
"4","105","105","105","0.004622022714465856","0.0035365824587643147","0.005809735972434282","105","105","105","0.0033440667670220138","0.0027168160304427147","0.005126029718667269"
"5","127","127","127","0.004073881963267923","0.003180618630722165","0.0052560195326805115","127","127","127","0.0031712902244180443","0.002663919236510992","0.004385277163237333"
"6","148","148","148","0.003945412812754512","0.0030643234495073557","0.004858651198446751","148","148","148","0.0030611918307840826","0.002635688055306673","0.004224441479891539"
"7","169","169","169","0.0033448802307248114","0.0024934420362114906","0.004204265307635069","169","169","169","0.0030475129839032888","0.002680861158296466","0.004105689469724894"
"8","191","191","191","0.003107396047562361","0.0023354317527264357","0.0037507822271436453","191","191","191","0.0029759979341179134","0.002486875280737877","0.0039505744352936745"
"9","212","212","212","0.002813598746433854","0.0020025342237204313","0.003631859552115202","212","212","212","0.0028417080640792845","0.0024927223566919565","0.003733027959242463"
"10","233","233","233","0.0026362577453255655","0.0019379956647753716","0.0034369458444416523","233","233","233","0.0028006667271256447","0.002418265677988529","0.003929771948605776"
"11","255","255","255","0.002426386484876275","0.0018339422531425953","0.0029274222906678915","255","255","255","0.00269879586994648","0.0023730038665235043","0.003604448866099119"
"12","276","276","276","0.0023885331116616725","0.0019602212123572826","0.002729410072788596","276","276","276","0.0026971152052283286","0.002377715427428484","0.003519037738442421"
"13","298","298","298","0.002246729889884591","0.001776785822585225","0.002643449930474162","298","298","298","0.0026741265784949063","0.0022970607969909906","0.003515454474836588"
"14","319","319","319","0.002114220056682825","0.001671472331508994","0.0023498039226979017","319","319","319","0.0025710427667945623","0.002277214080095291","0.0033518937416374683"
"15","340","340","340","0.002041502413339913","0.0016240694094449282","0.0023488199803978205","340","340","340","0.0025253609288483857","0.0021859474945813417","0.003199022263288498"
"16","362","362","362","0.0020024349680170415","0.0015894898679107428","0.0022283033467829227","362","362","362","0.002598495967686176","0.0021826387383043766","0.003377358429133892"
"17","383","383","383","0.0019169792532920838","0.001546755200251937","0.002202554140239954","383","383","383","0.0025367150548845528","0.0022088049445301294","0.0031802987214177847"
"18","404","404","404","0.0019085322739556432","0.0015520548913627863","0.002200082875788212","404","404","404","0.002438457403331995","0.0021144459024071693","0.0030809435993433"
"19","426","426","426","0.001905633439309895","0.0015825765440240502","0.0021148028317838907","426","426","426","0.002450662199407816","0.002139306627213955","0.0030758839566260576"
"20","447","447","447","0.001835669344291091","0.001469018985517323","0.0021170808468014","447","447","447","0.0024051246233284473","0.0020830861758440733","0.0030677220784127712"
"21","468","468","468","0.001820542081259191","0.0014556475216522813","0.002081401878967881","468","468","468","0.0023884563706815243","0.002059254329651594","0.0030478183180093765"
"22","490","490","490","0.0018369251862168311","0.0014197563286870718","0.0021533616818487644","490","490","490","0.00240961080417037","0.002176710171625018","0.0030551014933735132"
"23","511","511","511","0.0017623594030737877","0.0013856630539521575","0.0020492509938776493","511","511","511","0.002369967754930258","0.0020724444184452295","0.0030406261794269085"
"24","533","533","533","0.0017631364054977894","0.0013913188595324755","0.0020395428873598576","533","533","533","0.0023547363467514514","0.002046094508841634","0.0030400161631405354"
"25","554","554","554","0.0017552803270518779","0.001415776670910418","0.001989777432754636","554","554","554","0.0023506620433181523","0.002051055897027254","0.0030429717153310776"
"26","575","575","575","0.0017097670119255782","0.0013625730061903596","0.0019515992607921362","575","575","575","0.0023347334936261177","0.002033654833212495","0.003002556273713708"
"27","597","597","597","0.001937451120465994","0.0013995287008583546","0.002862044842913747","597","597","597","0.0023453235160559418","0.0020259988959878683","0.0029903778340667486"
"28","618","618","618","0.001770415110513568","0.0013738010311499238","0.002082166261970997","618","618","618","0.0023315103258937596","0.002024513203650713","0.0030460525304079056"
"29","639","639","639","0.0016701881773769855","0.001343384850770235","0.0018607948441058397","639","639","639","0.002325998991727829","0.00201772665604949","0.0030424748547375202"
"30","661","661","661","0.0016639052424579858","0.0013952564913779497","0.0018239524215459824","661","661","661","0.002316373074427247","0.002043183194473386","0.002965879160910845"
"31","682","682","682","0.0016448229784145952","0.0014012205647304654","0.001795743010006845","682","682","682","0.00230903709307313","0.0020042278338223696","0.0029720421880483627"
"32","703","703","703","0.0016524421516805887","0.0013350221561267972","0.0017928564921021461","703","703","703","0.002321799099445343","0.0020273372065275908","0.002986534731462598"
"33","725","725","725","0.0016315432032570243","0.0013787491479888558","0.001786836888641119","725","725","725","0.002313382364809513","0.0020768081303685904","0.0029566558077931404"
"34","746","746","746","0.0015946905361488462","0.0013078507035970688","0.001753194839693606","746","746","746","0.0023519367445260287","0.00211325497366488","0.0029780161567032337"
"35","767","767","767","0.0016339725349098443","0.0013050625566393137","0.0018970095552504063","767","767","767","0.002332065487280488","0.0020157501567155123","0.0029697681311517954"
"36","789","789","789","0.001555695733986795","0.0012973910197615623","0.001733041601255536","789","789","789","0.002324616443365812","0.001995309256017208","0.0029421134386211634"
"37","810","810","810","0.001531922328285873","0.0012876010732725263","0.0017086719162762165","810","810","810","0.0022970193065702917","0.002016341546550393","0.002958047902211547"
"38","832","832","832","0.0015580696985125543","0.0012963643530383706","0.0017211971571668983","832","832","832","0.002304637338966131","0.0019822525791823864","0.002951787319034338"
"39","853","853","853","0.0015498889377340674","0.0013107601553201675","0.0017201973823830485","853","853","853","0.002278084773570299","0.0019801808521151543","0.002936874981969595"
"40","874","874","874","0.0015220779227092863","0.0012762098340317607","0.0016574987675994635","874","874","874","0.0022803654428571463","0.002027724636718631","0.00293550337664783"
"41","896","896","896","0.0014943456975743175","0.0012783334823325276","0.001656168489716947","896","896","896","0.0022795385215431453","0.0019769142381846905","0.0029630186036229134"
"42","917","917","917","0.0014885005075484514","0.0012632602592930198","0.0016481857746839523","917","917","917","0.0022827834822237492","0.0019799929577857256","0.002921751933172345"
"43","938","938","938","0.0014990471070632338","0.0013219588436186314","0.0016569456784054637","938","938","938","0.0022661279421299697","0.0020141040440648794","0.002916444558650255"
"44","960","960","960","0.001485680090263486","0.0012688270071521401","0.0016126667615026236","960","960","960","0.002260190574452281","0.0019865247886627913","0.002842965070158243"
"45","981","981","981","0.0014704327564686536","0.0012542804470285773","0.0016136352205649018","981","981","981","0.002267268020659685","0.0019728767219930887","0.0028455927968025208"
"46","1002","1002","1002","0.0014626203803345561","0.0012709355214610696","0.0015822112327441573","1002","1002","1002","0.0022880630102008583","0.0020375943277031183","0.0028993948362767696"
"47","1024","1024","1024","0.0014560145325958728","0.0012570215621963143","0.0015763920964673162","1024","1024","1024","0.002287880517542362","0.0019883092027157545","0.0028450561221688986"
"48","1045","1045","1045","0.0014485771069303155","0.0013060434721410275","0.0015843779547140002","1045","1045","1045","0.002292949240654707","0.0020724523346871138","0.00287066213786602"
"49","1067","1067","1067","0.001446715882048011","0.001305584330111742","0.001605245633982122","1067","1067","1067","0.002264398895204067","0.001955256098881364","0.0029194147791713476"
"50","1088","1088","1088","0.0014428817899897694","0.0012480674777179956","0.0015949649969115853","1088","1088","1088","0.002249235846102238","0.0019920405466109514","0.0028586697299033403"
"51","1109","1109","1109","0.001436193217523396","0.0012416986282914877","0.0016472539864480495","1109","1109","1109","0.0022422973532229664","0.001964638475328684","0.0028341878205537796"
"52","1131","1131","1131","0.001415020483545959","0.001262028468772769","0.0015327223809435964","1131","1131","1131","0.0022478091064840554","0.0019854691345244646","0.0028359880670905113"
"53","1152","1152","1152","0.001436796155758202","0.0013635592767968774","0.0015524073969572783","1152","1152","1152","0.0022678847424685957","0.0019775412511080503","0.0029566767625510693"
"54","1173","1173","1173","0.0014410632429644465","0.0013147210702300072","0.0015561830950900912","1173","1173","1173","0.002245824504643679","0.001991794677451253","0.0028202810790389776"
