"epoch","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_vq_loss","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_vq_loss__MIN","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_vq_loss__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MAX"
"0","20","20","20","0.3140730641782284","0.00007866043597459793","1.449794054031372","20","20","20","0.0035307286772876976","0.0028667054139077663","0.004950366448611021"
"1","41","41","41","1.114218138344586","0.004978421609848738","5.540361404418945","41","41","41","0.004009201237931847","0.00297571811825037","0.007768782787024975"
"2","63","63","63","0.005450598429888487","0.00247030146420002","0.00749011617153883","63","63","63","0.004542899783700705","0.0027628797106444836","0.008048135787248611"
"3","84","84","84","0.003992611775174737","0.002843721304088831","0.004855735693126917","84","84","84","0.004236560454592109","0.0026624619495123625","0.006102380808442831"
"4","105","105","105","0.0037527954671531917","0.002673229668289423","0.004263946320861578","105","105","105","0.004110752744600177","0.0027232239954173565","0.00586102856323123"
"5","127","127","127","0.0035356685519218447","0.0025692202616482973","0.004067524336278439","127","127","127","0.0041152752935886385","0.00278256693854928","0.0057990411296486855"
"6","148","148","148","0.003479156084358692","0.0025700062979012728","0.003905382938683033","148","148","148","0.004136525886133313","0.00276064476929605","0.0058237239718437195"
"7","169","169","169","0.0032096573617309333","0.0028028979431837797","0.003742625704035163","169","169","169","0.004346219217404723","0.002807214157655835","0.0057670315727591515"
"8","191","191","191","0.003006374649703503","0.0023202041629701853","0.003524505766108632","191","191","191","0.004195291036739946","0.0027455096133053303","0.005882695317268372"
"9","212","212","212","0.0029099388048052788","0.0023684045299887657","0.0036373715847730637","212","212","212","0.004124300787225366","0.0027513785753399134","0.005884325131773949"
"10","233","233","233","0.0028377487789839504","0.0022497333120554686","0.003543031634762883","233","233","233","0.004162755934521556","0.0032972272019833326","0.005777194630354643"
"11","255","255","255","0.0028200103435665367","0.002148519502952695","0.0037035748828202486","255","255","255","0.004030813928693533","0.002909894799813628","0.0055754524655640125"
"12","276","276","276","0.0027378641068935396","0.0021291065495461226","0.0037689199671149254","276","276","276","0.004086654866114259","0.0027878046967089176","0.005935694556683302"
"13","298","298","298","0.0025898077059537173","0.0019459726754575968","0.0035447911359369755","298","298","298","0.003913930570706725","0.0031483154743909836","0.005468371789902449"
"14","319","319","319","0.002628067368641496","0.0020263572223484516","0.003526590298861265","319","319","319","0.004260334465652704","0.003381365444511175","0.005648496560752392"
"15","340","340","340","0.002527792565524578","0.0019085714593529701","0.0032617654651403427","340","340","340","0.004377972939983011","0.003418050007894635","0.005600275471806526"
"16","362","362","362","0.0025647197384387256","0.0019599134102463722","0.0034537636674940586","362","362","362","0.004212845815345645","0.0035395133309066296","0.005200861021876335"
"17","383","383","383","0.002499419543892145","0.0019550698343664408","0.003227089298889041","383","383","383","0.004427585238590837","0.0037266926374286413","0.005341176874935627"
